CandidateID,Candidate,Contributor Type,Total Contributions,Number of Contributions
504242,"Doran, James P",(Unknown),0.0,0
504243,"Balcazar, Zayda",(Unknown),0.0,0
504244,"Huancaya, Julio",(Unknown),0.0,0
504245,"Miranda, Orlando",(Unknown),0.0,0
504246,"Hokien, William",(Unknown),0.0,0
504247,"Shea, Edmund J",(Unknown),0.0,0
505051,Hector Jimenez & Patel,(Unknown),0.0,0
505315,"Manuel, Emily",(Unknown),0.0,0
505589,Zincavage & De Oliveira,(Unknown),0.0,0
505610,"Gillen, Tommy",(Unknown),0.0,0
505637,"Weiner, Aaron",(Unknown),0.0,0
507236,"Bystrowski, Darius",(Unknown),0.0,0
507242,"Tehfa, Sukaina",(Unknown),0.0,0
507256,"Klich, Amanda",(Unknown),0.0,0
509364,"Kopacz, Robyn",(Unknown),0.0,0
509365,"Cubberly, Scott",(Unknown),0.0,0
509366,"Yacoub, Remonda",(Unknown),0.0,0
509367,"Hladik, John",(Unknown),0.0,0
509369,"Santos, Genesis",(Unknown),0.0,0
509370,"Ditchkus, Lisa",(Unknown),0.0,0
509371,"Leone, Heather",(Unknown),0.0,0
509372,"Angley, Sharyn",(Unknown),0.0,0
509373,"Oxman, Adrian",(Unknown),0.0,0
509374,"Dallara, Sheillah",(Unknown),0.0,0
509375,"Waiters, Patricia",(Unknown),0.0,0
509376,"Verdibello, Gina",(Unknown),0.0,0
509377,"Taube, Jessica",(Unknown),0.0,0
509378,"Williams, Chloe",(Unknown),0.0,0
509379,"Walker, Danielle",(Unknown),0.0,0
509380,"Patel, Alpa B",(Unknown),0.0,0
509381,"Blount, George P",(Unknown),0.0,0
509382,"Morris, De'Jon",(Unknown),0.0,0
509383,"Rodriguez, Vanessa",(Unknown),0.0,0
509384,"Vogt, Julietta",(Unknown),0.0,0
509385,"Bahadur, Videsh A",(Unknown),0.0,0
509386,"Garcia, Fernando",(Unknown),0.0,0
509387,"Masongo, Zebedayo",(Unknown),0.0,0
509388,"Paris, Samantha",(Unknown),0.0,0
509389,"Viscuso, Sj Zibbie",(Unknown),0.0,0
509390,"Cifelli-Pettigrew, Laura",(Unknown),0.0,0
509391,"Rodrigues, Ann",(Unknown),0.0,0
509392,"Elliot, Mackenzie",(Unknown),0.0,0
509393,"Graniere, Anthony",(Unknown),0.0,0
509394,"Nguyen, Katherine",(Unknown),0.0,0
509395,"Khiry Gerbasio, Dina",(Unknown),0.0,0
509396,Patel Blount Morris Rodriguez Education Matters,(Unknown),0.0,0
509500,Taube Verdibello Williams Walker For Stronger School,(Unknown),0.0,0
